"file","langCode","codebookSizeBits","origSize","pythonCompression","gzip1ShuffledWords","gzip1ShuffledAll","gzip1","gzip9","bzip1","bzip9","numWords","numUniqueChars","numUniqueWords","pair","Language_Name","Uninverted_Name","Country_Code","Country_Name","Region_Code","Region_Name","Area","L1_Users","Digits","All_Users","Countries","Family","Classification","Latitude","Longitude","EGIDS","Is_Written","Institutional","Developing","Vigorous","In_Trouble","Dying","Extinct","logpopall","logpopL1","translation","language","latitude","longitude","family","words","chars","book","H_original","H_order","H_structure","D_structure","D_order","booktitle","numCountries"
"spa-x-bible-nuevadehoi_parsed.txt","spa",12,1011053,490334,603500,814104,407345,324333,236823,236823,198546,81,13128,"223","Spanish","Spanish","ES","Spain","SEU","Southern Europe","Europe",436667750,9,527976150,31,"Indo-European","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian",40.3952,-3.5465,"0",TRUE,1,0,0,0,0,0,8.72261430563415,8.64015111937747,NA,NA,40.028801,-2.9878199,NA,13082.4506517691,63233.3817504656,34.1564245810056,1.69555279299814,2.16483196052142,1.97100054063315,0.275447749253259,0.469279166852886,NA,69
"spa-x-bible-nuevaviviente_parsed.txt","spa",12,1124118,550032,674025,910105,455258,361581,256839,256839,213614,88,13171,"223","Spanish","Spanish","ES","Spain","SEU","Southern Europe","Europe",436667750,9,527976150,31,"Indo-European","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian",40.3952,-3.5465,"0",TRUE,1,0,0,0,0,0,8.72261430563415,8.64015111937747,NA,NA,40.028801,-2.9878199,NA,13082.4506517691,63233.3817504656,34.1564245810056,1.69555279299814,2.16483196052142,1.97100054063315,0.275447749253259,0.469279166852886,NA,69
"spa-x-bible-nuevointernacional_parsed.txt","spa",12,1006577,492173,603795,815317,411874,328660,236279,236279,193448,83,13617,"223","Spanish","Spanish","ES","Spain","SEU","Southern Europe","Europe",436667750,9,527976150,31,"Indo-European","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian",40.3952,-3.5465,"0",TRUE,1,0,0,0,0,0,8.72261430563415,8.64015111937747,NA,NA,40.028801,-2.9878199,NA,13082.4506517691,63233.3817504656,34.1564245810056,1.69555279299814,2.16483196052142,1.97100054063315,0.275447749253259,0.469279166852886,NA,69
"spa-x-bible-reinavaleracontemporanea_parsed.txt","spa",12,1013418,487169,603380,816839,405870,322481,233089,233089,198973,82,12854,"223","Spanish","Spanish","ES","Spain","SEU","Southern Europe","Europe",436667750,9,527976150,31,"Indo-European","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian",40.3952,-3.5465,"0",TRUE,1,0,0,0,0,0,8.72261430563415,8.64015111937747,NA,NA,40.028801,-2.9878199,NA,13082.4506517691,63233.3817504656,34.1564245810056,1.69555279299814,2.16483196052142,1.97100054063315,0.275447749253259,0.469279166852886,NA,69
"spl-x-bible_parsed.txt","spl",12,1887020,746597,1149643,1509072,604830,424563,267211,267211,265405,67,11716,"274","Selepet","Selepet","PG","Papua New Guinea","MEL","Melanesia","Pacific",7000,4,7000,1,"Trans-New Guinea","Trans-New Guinea, Finisterre-Huon, Huon, Western",-6.0587,147.2312,"5",TRUE,0,1,0,0,0,0,3.84516007765195,3.84516007765195,NA,NA,-6.0353198,147.23425,NA,10092.7777777778,61106.8888888889,53,1.26889690222222,1.82814628518519,1.56491079259259,0.296013891851852,0.559249395925926,NA,1
"spp-x-bible_parsed.txt","spp",12,1375732,612293,838647,1196198,489378,369585,247110,247110,277779,109,7184,"94","Sénoufo, Supyire","Supyire Sénoufo","ML","Mali","WAF","Western Africa","Africa",350000,6,350000,1,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Senufo, Suppire-Mamara",11.4757,-5.8451,"5",TRUE,0,1,0,0,0,0,5.54406928518988,5.54406928518988,NA,NA,11.63201,-5.87709,NA,10580.8148148148,45349.1111111111,53,1.55577832592593,2.06381757037037,1.76428198148148,0.208503652222222,0.508039253333333,NA,1
"sps-x-bible_parsed.txt","sps",12,1592232,656731,854925,1174558,561841,415880,289063,289063,344076,73,4276,"119","Saposa","Saposa","PG","Papua New Guinea","MEL","Melanesia","Pacific",1400,4,1400,1,"Austronesian","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Saposa-Tinputz",-5.525,154.6526,"5",TRUE,0,1,0,0,0,0,3.14643813528577,3.14643813528577,NA,NA,-5.6410298,154.73161,NA,12534.4482758621,56273.7586206897,49.5862068965517,1.40575105172414,1.92788402758621,1.57203262413793,0.166281561,0.522132976206897,NA,1
"spy-x-bible-1997_parsed.txt","spy",12,1365631,571767,835064,1119818,478319,352806,234386,234386,182785,72,20547,"252","Sabaot","Sabaot","KE","Kenya","EAF","Eastern Africa","Africa",241000,6,241000,1,"Nilo-Saharan","Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Nilotic, Southern, Kalenjin, Elgon",0.996,34.6741,"5",TRUE,0,1,0,0,0,0,5.38201884462292,5.38201884462292,NA,NA,1.01297,34.66642,NA,6805.98,45712.66,52.26,1.600284868,1.937264228,2.086244008,0.485959141,0.336979363,NA,1
"spy-x-bible-2011_parsed.txt","spy",12,1279262,533447,778922,1065952,451116,331088,219458,219458,169842,76,20040,"252","Sabaot","Sabaot","KE","Kenya","EAF","Eastern Africa","Africa",241000,6,241000,1,"Nilo-Saharan","Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Nilotic, Southern, Kalenjin, Elgon",0.996,34.6741,"5",TRUE,0,1,0,0,0,0,5.38201884462292,5.38201884462292,NA,NA,1.01297,34.66642,NA,6805.98,45712.66,52.26,1.600284868,1.937264228,2.086244008,0.485959141,0.336979363,NA,1
"sqi-x-bible-interconfessional_parsed.txt","sqi",12,998265,467263,601393,803826,391178,307897,220645,220645,186013,74,12767,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.849998,20.18,NA,7409.98148148148,34711.8703703704,53,1.85802503518519,2.19042330555556,2.18683336481481,0.328808332037037,0.332398268888889,NA,NA
"sqi-x-bible_parsed.txt","sqi",12,1037306,482008,617426,827926,407837,322533,235506,235506,198354,67,13811,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.849998,20.18,NA,7409.98148148148,34711.8703703704,53,1.85802503518519,2.19042330555556,2.18683336481481,0.328808332037037,0.332398268888889,NA,NA
"sri-x-bible_parsed.txt","sri",12,1738865,671043,1122419,1522836,530542,374806,238015,238015,222394,98,15938,"337","Siriano","Siriano","CO","Colombia","SAM","South America","Americas",217,3,217,2,"Tucanoan","Tucanoan, Eastern Tucanoan, Desano-Siriano",0.082,-69.9249,"6b",TRUE,0,0,0,1,0,0,2.3384564936046,2.3384564936046,NA,NA,0.79509997,-70.437393,NA,8527.11111111111,51873.5925925926,53,1.33473038148148,1.82562644074074,1.77657145925926,0.441841081111111,0.49089607962963,NA,2
"srm-x-bible_parsed.txt","srm",12,1710634,679577,904994,1328633,597282,453382,316732,316732,404936,76,2927,"-","Saramaccan","Saramaccan","SR","Suriname","SAM","South America","Americas",17100,5,17100,2,"Creole","Creole, English based",4.599,-55.6781,"5",TRUE,0,1,0,0,0,0,4.23302150698769,4.23302150698769,NA,NA,4.5662699,-55.675549,NA,15286.0740740741,58712.1851851852,53,1.53631115185185,1.99675909259259,1.65687307037037,0.120561913703704,0.460447938148148,NA,2
"srn-x-bible-newworld_parsed.txt","srn",12,1084882,453401,582883,834161,385749,295780,211092,211092,258370,69,2888,"209","Sranan","Sranan","SR","Suriname","SAM","South America","Americas",410700,6,710700,1,"Creole","Creole, English based, Atlantic, Suriname",5.6532,-55.3325,"3",TRUE,1,0,0,0,0,0,5.85168692652189,5.6135257603018,NA,NA,5.7910199,-56.194061,NA,14699.8709677419,59998.4301075269,39.1612903225806,1.45151138569892,1.96778096236559,1.56743673,0.115925347849462,0.516269574623656,NA,5
"srn-x-bible_parsed.txt","srn",12,1061496,445637,571273,822346,383006,294286,210019,210019,255525,77,2825,"209","Sranan","Sranan","SR","Suriname","SAM","South America","Americas",410700,6,710700,1,"Creole","Creole, English based, Atlantic, Suriname",5.6532,-55.3325,"3",TRUE,1,0,0,0,0,0,5.85168692652189,5.6135257603018,NA,NA,5.7910199,-56.194061,NA,14699.8709677419,59998.4301075269,39.1612903225806,1.45151138569892,1.96778096236559,1.56743673,0.115925347849462,0.516269574623656,NA,5
"srp-x-bible-newworld_parsed.txt","srp",12,890445,445025,544746,731958,379012,308369,228874,228874,173968,81,16758,"197","Serbian","Serbian","RS","Serbia","SEU","Southern Europe","Europe",8485306,7,8485306,10,"Indo-European","Indo-European, Balto-Slavic, Slavic, South, Western",43.9146,20.607,"1",TRUE,1,0,0,0,0,0,6.92866755979382,6.92866755979382,NA,NA,44.333019,20.719629,NA,10058,48263.1290322581,39.1612903225806,1.91259154516129,2.30300536989247,2.28083262043011,0.368241067946237,0.390413824150538,NA,25
